Front	Back	Classe	Tags
verde	pisa	adj	tapi adj
amarelo	mumu	adj	tapi adj
azul	sasa	adj	tapi adj
em (dentro)	mipi	prep	tapi prep
com	kami	prep	tapi prep
em (sobre)	pasi	prep	tapi prep
sem	sata	prep	tapi prep
tudo (substantivado)	mata-mati	pron-indef	tapi pron-indef
piolho	nami	subst	tapi subst
perna	tapa	subst	tapi subst
asa	titu	subst	tapi subst
tripas/entranhas	pasa	subst	tapi subst
costas	pupi	subst	tapi subst
lago	kisa	subst	tapi subst
poeira	kisu	subst	tapi subst
neblina/névoa	kisi	subst	tapi subst
céu	tisi	subst	tapi subst
gelo	tasa	subst	tapi subst
ano	taku	subst	tapi subst
marido (composto homem-cônjuge)	papu-tupa	subst	tapi subst
esposa (composto mulher-cônjuge)	mumi-tupa	subst	tapi subst
cheirar	kuku	verbo	tapi verbo
bater	tata	verbo	tapi verbo
coçar	titi	verbo	tapi verbo
girar	tuti	verbo	tapi verbo
cair	kata	verbo	tapi verbo
segurar	mamu	verbo	tapi verbo
apertar (espremer)	mimu	verbo	tapi verbo
esfregar	nanu	verbo	tapi verbo
enxugar	nunu	verbo	tapi verbo
lançar/atirar	sini	verbo	tapi verbo
amarrar	sinu	verbo	tapi verbo
costurar	pipi	verbo	tapi verbo
flutuar	pipu	verbo	tapi verbo
fluir	pasu	verbo	tapi verbo
congelar	pupu	verbo	tapi verbo
inchar	kasa	verbo	tapi verbo
podre	taki	adj	tapi adj
sujo (composto: NEG-limpo)	pa-naka	adj	tapi adj
reto (composto: caminho-longo)	nani-pami	adj	tapi adj
afiado (composto: dente-grande)	kipa-tipi	adj	tapi adj
cego/embotado (composto: dente-pequeno)	kipa-puku	adj	tapi adj
liso (composto: pele-boa)	namu-tina	adj	tapi adj
tio (raiz dedicada)	sana	subst	tapi subst
tia	suna	subst	tapi subst
primo (masc)	sunu	subst	tapi subst
prima (fem)	sanu	subst	tapi subst
avô (composto)	papi-mapa	subst	tapi subst
avó (composto)	mama-mapa	subst	tapi subst
neto (composto: filho-de-filho)	kuni-ni-kuni	subst	tapi subst
sogro (composto)	tupa-ni-papi	subst	tapi subst
sogra (composto)	tupa-ni-mama	subst	tapi subst
irmão/irmã (composto: co-filho, neutro)	tatu-kuni	subst	tapi subst
irmão (masc)	tatu-kuni-papu	subst	tapi subst
irmã (fem)	tatu-kuni-mumi	subst	tapi subst
sobrinho (composto)	kuni-papu	subst	tapi subst
sobrinha (composto)	kuni-mumi	subst	tapi subst
roxo (composto: vermelho-azul)	pisi-sasa	adj	tapi adj
laranja (composto)	pisi-mumu	adj	tapi adj
marrom (composto: terra-cinza)	tana-kasu	adj	tapi adj
rosa (composto: vermelho-branco)	pisi-tita	adj	tapi adj
dourado (composto: sol-amarelo)	tunu-mumu	adj	tapi adj
prateado (composto: lua-branco)	pinu-tita	adj	tapi adj
domingo	nupa-tani	subst	tapi subst
segunda	nupa-pi	subst	tapi subst
terça	nupa-ti	subst	tapi subst
quarta	nupa-pu	subst	tapi subst
quinta	nupa-ka	subst	tapi subst
sexta	nupa-ma	subst	tapi subst
sábado	nupa-nuku	subst	tapi subst
mês (composto: lua-tempo)	pinu-kapa	subst	tapi subst
primavera (composto: flor-tempo)	kipi-kapa	subst	tapi subst
verão (composto: quente-tempo)	kuma-kapa	subst	tapi subst
outono (composto: folha-cair)	papa-kata	subst	tapi subst
inverno (composto: frio-tempo)	pini-kapa	subst	tapi subst
aurora (composto: sol-chegar)	tunu-supa	subst	tapi subst
crepúsculo (composto: sol-voltar)	tunu-kuti	subst	tapi subst
meio-dia (composto: sol-topo)	tunu-miti	subst	tapi subst
meia-noite (composto)	muta-pi-miti	subst	tapi subst
médico (composto: saber-corpo)	kima-puti	subst	tapi subst
professor (composto: saber-dar)	kima-puna	subst	tapi subst
aluno (composto: saber-receber)	kima-kuta	subst	tapi subst
agricultor (composto: terra-fazer)	tana-patu	subst	tapi subst
engenheiro (composto: fazer-saber)	patu-kima	subst	tapi subst
soldado (composto: lutar-pessoa)	siku-mati	subst	tapi subst
artista (composto: belo-fazer)	panu-patu	subst	tapi subst
escritor (composto)	tama-patu	subst	tapi subst
músico (composto: canção-fazer)	tama-na-patu	subst	tapi subst
cozinheiro (composto)	kasi-patu	subst	tapi subst
comerciante (composto)	kuta-puna-mati	subst	tapi subst
juiz (composto: verdade-fazer)	muta-ka-patu	subst	tapi subst
líder/chefe (composto: cabeça-pessoa)	miti-mati	subst	tapi subst
computador (composto: contar-pedra)	kupu-mapu	subst	tapi subst
internet (composto: palavra-tudo)	tama-kupa	subst	tapi subst
telefone (composto: palavra-longa)	tama-pami	subst	tapi subst
celular (composto)	tama-pami-puku	subst	tapi subst
carro (composto: casa-pé)	kama-puta	subst	tapi subst
avião (composto: casa-asa)	kama-titu	subst	tapi subst
trem (composto)	kama-kuka	subst	tapi subst
bicicleta (composto: redondo-pé)	mana-puta	subst	tapi subst
barco (composto: casa-água)	kama-mina	subst	tapi subst
foto (composto: olho-ver)	pati-tika	subst	tapi subst
vídeo (composto)	pati-tika-pami	subst	tapi subst
rádio (composto)	tama-na-pami	subst	tapi subst
eletricidade (composto: fogo-longo)	puka-pami	subst	tapi subst
pão (composto: comida-básica)	kasi-tani	subst	tapi subst
arroz (composto: grande-semente)	tipi-kiki	subst	tapi subst
feijão (composto: semente-preta)	kiki-ninu	subst	tapi subst
café (composto: água-preta)	mina-ninu	subst	tapi subst
leite (composto: seio-água)	muma-mina	subst	tapi subst
queijo (composto: leite-quente)	muma-mina-kuma	subst	tapi subst
vinho (composto: fruta-água-vermelha)	tati-mina-pisi	subst	tapi subst
cerveja (composto: semente-água-fermentada)	kiki-mina-kuma	subst	tapi subst
vegetal (composto: grama-comida)	kapu-kasi	subst	tapi subst
cavalo (composto: ir-animal)	ina-natu	subst	tapi subst
vaca (composto: seio-animal)	muma-natu	subst	tapi subst
porco (composto: gordura-animal)	pupa-natu	subst	tapi subst
galinha (composto: ovo-ave)	kaki-piti	subst	tapi subst
ovelha (composto: pelo-animal)	tutu-natu	subst	tapi subst
leão (composto: lutar-animal)	siku-natu	subst	tapi subst
elefante (composto)	tipi-tipi-natu	subst	tapi subst
liberdade (composto: sem-corda)	pa-kuka	subst	tapi subst
justiça (composto: verdade-fazer-nominalizado)	muta-ka-patu-i	subst	tapi subst
paz (composto: sem-guerra)	pa-siku	subst	tapi subst
guerra (composto)	tipi-siku	subst	tapi subst
Deus (composto: ser-grande-superlativo)	ipa-tipi-sami	subst	tapi subst
alma (composto: coração-luz)	pumu-pana	subst	tapi subst
espírito (composto: vento-pessoa)	nita-mati	subst	tapi subst
mente (composto: pensar-casa)	pita-kama	subst	tapi subst
número (composto)	kupu-tama	subst	tapi subst
zero (composto: não-um)	pa-tani	num	tapi num
mais (intensificador)	sa	adv	tapi adv
menos (composto)	pa-sa	adv	tapi adv
somar (composto: contar-grande)	kupu-tipi	verbo	tapi verbo
subtrair (composto)	kupu-puku	verbo	tapi verbo
multiplicar (composto)	kupu-matu	verbo	tapi verbo
norte (composto: estrela-primeira)	kati-tani	subst	tapi subst
sul (composto: estrelas-todas)	kati-kupa	subst	tapi subst
frente (composto: olho-de)	pati-ni	subst/prep	tapi subst/prep
trás (composto: costas-de)	pupi-ni	subst/prep	tapi subst/prep
cima (composto: cabeça-de)	miti-ni	subst/prep	tapi subst/prep
baixo (composto: pé-de)	puta-ni	subst/prep	tapi subst/prep
fora (composto: não-dentro)	pa-mipi	prep	tapi prep
roupa (composto: pele-toda)	namu-kupa	subst	tapi subst
chapéu (composto: cabeça-roupa)	miti-namu	subst	tapi subst
camisa (composto: corpo-roupa)	puti-namu	subst	tapi subst
calça (composto: perna-roupa)	tapa-namu	subst	tapi subst
sapato (composto: pé-roupa)	puta-namu	subst	tapi subst
dedo (composto: mão-pequena)	kanu-puku	subst	tapi subst
anel (composto)	kanu-puku-mana	subst	tapi subst
mesa (composto: feita-superfície)	patu-tana	subst	tapi subst
cadeira (composto: sentar-objeto)	supu-patu	subst	tapi subst
cama (composto: deitar-objeto)	supi-patu	subst	tapi subst
porta (composto: casa-boca)	kama-munu	subst	tapi subst
janela (composto: casa-olho)	kama-pati	subst	tapi subst
parede (composto: casa-costas)	kama-pupi	subst	tapi subst
faca (composto)	sasi-patu	subst	tapi subst
colher (homônimo cozinheiro; contexto)	kasi-patu	subst	tapi subst
garfo (composto)	kasi-kiti	subst	tapi subst
prato (composto)	kasi-tana	subst	tapi subst
copo (composto: água-casa)	mina-kama	subst	tapi subst
estrada (composto: caminho-grande)	nani-tipi	subst	tapi subst
ponte (composto: caminho-rio)	nani-tupi	subst	tapi subst
tempestade (composto)	tipi-masu	subst	tapi subst
raio (composto: luz-fogo)	pana-puka	subst	tapi subst
trovão (composto: céu-voz)	tisi-tama	subst	tapi subst
arco-íris (composto)	masu-pana-tipi	subst	tapi subst
granizo (composto)	tasa-masu	subst	tapi subst
enchente (composto)	tipi-mina	subst	tapi subst
seca (composto)	kumu-kapa	subst	tapi subst
terremoto (composto: terra-dança)	tana-tasu	subst	tapi subst
vulcão (composto: montanha-fogo)	sani-puka	subst	tapi subst
polegar (composto: mão-pequeno-um; primeiro dedo)	kanu-puku-tani	subst	tapi subst
dedo do pé	puta-puku	subst	tapi subst
ombro (composto: macho-cabeça do braço)	papu-miti	subst	tapi subst
cotovelo (composto: mão-joelho)	kanu-tumi	subst	tapi subst
pulso (composto: mão-coração; batida do coração na mão)	kanu-pumu	subst	tapi subst
tornozelo (composto: pé-joelho)	puta-tumi	subst	tapi subst
coxa (composto: perna-grande)	tapa-tipi	subst	tapi subst
panturrilha (composto: perna-pequena)	tapa-puku	subst	tapi subst
quadril (composto)	puti-tatu	subst	tapi subst
costela (composto)	puti-tipu	subst	tapi subst
espinha (composto)	puti-pupi	subst	tapi subst
fome (composto: comer-NEG existência)	mani-pa	subst	tapi subst
sede (composto)	piku-pa	subst	tapi subst
sono (composto)	napi-pa	subst	tapi subst
dor (composto: corpo-mal)	puti-muka	subst	tapi subst
conforto (composto)	puti-tina	subst	tapi subst
vergonha (composto: olho-velho)	pati-mapa	subst	tapi subst
orgulho (composto)	pumu-tipi-sami	subst	tapi subst
inveja (composto)	pumu-naki-tuma	subst	tapi subst
gratidão (composto: coração-fruto)	pumu-tati	subst	tapi subst
preguiça (composto: corpo-frio)	puti-pini	subst	tapi subst
animação (composto: coração-de-pé)	pumu-sutu	subst	tapi subst
tédio (composto: tempo-tudo)	kapa-kupa	subst	tapi subst
lembrar (composto: pensar-voltar)	pita-kuti	verbo	tapi verbo
esquecer (composto: pensar-NEG)	pita-pa	verbo	tapi verbo
reconhecer (composto)	tika-kuti	verbo	tapi verbo
entender (composto: saber-chegar)	kima-supa	verbo	tapi verbo
confundir (composto: dividir-pensar)	muku-pita	verbo	tapi verbo
decidir (composto)	naki-pita	verbo	tapi verbo
escolher (composto: pegar-pensar)	kuta-pita	verbo	tapi verbo
hesitar (composto)	pa-pita	verbo	tapi verbo
duvidar (composto)	kima-pa	verbo	tapi verbo
imaginar (composto)	pita-pana	verbo	tapi verbo
planejar (composto: pensar-FUT)	pita-ka	verbo	tapi verbo
suspeitar (composto)	kima-puku	verbo	tapi verbo
ajudar (composto: amar-dar)	ama-puna	verbo	tapi verbo
prejudicar (composto)	muka-puna	verbo	tapi verbo
enganar (composto)	muta-ka-pa	verbo	tapi verbo
perdoar (composto: dividir-mal)	muku-muka	verbo	tapi verbo
vingar (composto)	muka-kuti	verbo	tapi verbo
prometer (composto)	taka-mika	verbo	tapi verbo
ameaçar (composto)	taka-nipa	verbo	tapi verbo
agradecer (composto: dizer-bom)	taka-tina	verbo	tapi verbo
desculpar (composto)	taka-muku	verbo	tapi verbo
cumprimentar (composto)	taka-supa	verbo	tapi verbo
visitar (composto)	supa-kama	verbo	tapi verbo
encontrar (composto)	supa-mati	verbo	tapi verbo
despedir-se (composto)	ina-taka	verbo	tapi verbo
casar (composto: cônjuge-fazer)	tupa-patu	verbo	tapi verbo
divorciar (composto)	tupa-muku	verbo	tapi verbo
namorar (composto)	ama-kapa	verbo	tapi verbo
trabalho (composto: fazer-tempo)	patu-kapa	subst	tapi subst
dinheiro (composto: pedra-pedra) — reduplicação	mapu-mapu	subst	tapi subst
comprar (composto: pegar-dinheiro)	kuta-mapu	verbo	tapi verbo
vender (composto)	puna-mapu	verbo	tapi verbo
trocar (composto)	tatu-puna	verbo	tapi verbo
preço (composto)	mapu-kapa	subst	tapi subst
lucro (composto)	mapu-tipi	subst	tapi subst
prejuízo (composto)	mapu-puku	subst	tapi subst
dívida (composto)	mapu-kuti	subst	tapi subst
rico (composto)	matu-mapu	adj	tapi adj
pobre (composto)	puku-mapu	adj	tapi adj
lei (composto: verdade-palavra)	muta-ka-tama	subst	tapi subst
crime (composto: mal-feito)	muka-patu	subst	tapi subst
polícia (composto)	sika-mati	subst	tapi subst
prisão (composto: dentro-casa)	mipi-kama	subst	tapi subst
governo (composto)	miti-mati-tipi	subst	tapi subst
presidente (composto)	miti-mati-sami	subst	tapi subst
eleição (composto: pegar-pensar)	kuta-pita	subst	tapi subst
votar (composto: voltar-pensar)	kuti-pita	verbo	tapi verbo
fronteira (composto: caminho-terra)	nani-tana	subst	tapi subst
exército (composto)	siku-mati-kupa	subst	tapi subst
oração (composto: coração-palavra)	pumu-tama	subst	tapi subst
sacrifício (composto: morrer-dar)	kina-puna	subst	tapi subst
ritual (composto: sonhar-fazer)	kapi-patu	subst	tapi subst
templo (composto)	ipa-tipi-kama	subst	tapi subst
sagrado (reduplicação: bom-bom)	tina-tina	adj	tapi adj
pecaminoso (reduplicação)	muka-muka	adj	tapi adj
arte (composto: belo-fazer; polissemia com artista)	panu-patu	subst	tapi subst
feiura (composto)	panu-pa	subst	tapi subst
criar (composto: fazer-novo)	patu-kini	verbo	tapi verbo
inspirar (composto)	pita-kini	verbo	tapi verbo
expressar (composto)	taka-pana	verbo	tapi verbo
pintura (composto: bela-água)	panu-mina	subst	tapi subst
escultura (composto)	panu-mapu	subst	tapi subst
dança (composto: bela-dançar)	panu-tasu	subst	tapi subst
teatro (composto: belo-ver)	panu-tika	subst	tapi subst
cinema (composto)	pati-tika-kupa	subst	tapi subst
instrumento musical (composto)	kuka-tama-na	subst	tapi subst
ritmo (composto: tempo-canção)	kapa-tama-na	subst	tapi subst
melodia (composto)	tina-tama-na	subst	tapi subst
harmonia (composto)	kupa-tama-na	subst	tapi subst
ciência (composto: saber-grande)	kima-tipi	subst	tapi subst
experimento (composto: fazer-saber; polissemia com engenheiro)	patu-kima	subst	tapi subst
teoria (composto: pensar-saber)	pita-kima	subst	tapi subst
hipótese (composto)	pita-puku	subst	tapi subst
prova (composto: verdade-fazer; polissemia com justiça)	muta-ka-patu-i	subst	tapi subst
átomo (composto: pequeno-pequeno-substância)	puku-puku-tipi	subst	tapi subst
molécula (composto)	puku-tipi	subst	tapi subst
elemento (composto)	puti-kupa	subst	tapi subst
energia (composto: fogo-coração)	puka-pumu	subst	tapi subst
força (composto)	musu-tipi	subst	tapi subst
gravidade (composto: terra-puxar)	tana-musu	subst	tapi subst
calor (dup adj)	kuma	subst	tapi subst
doença (composto: bem-NEG)	tipi-pa	subst	tapi subst
saúde (composto: corpo-bom; polissemia com conforto)	puti-tina	subst	tapi subst
remédio (composto: limpar-grande)	naka-tipi	subst	tapi subst
hospital (polissemia com templo; resolver por contexto)	ipa-tipi-kama	subst	tapi subst
febre (composto)	puti-kuma	subst	tapi subst
tosse (composto: respirar-grande)	nasi-tipi	subst	tapi subst
ferida (composto)	puti-sasi	subst	tapi subst
infecção (composto: verme-grande)	nuku-tipi	subst	tapi subst
vacina (composto: corpo-prevenção)	puti-pa	subst	tapi subst
esporte (já verbo jogar)	tupu	subst	tapi subst
time (composto)	tupu-mati	subst	tapi subst
vencer (composto: melhor-fazer)	sami-patu	verbo	tapi verbo
perder (composto)	pa-sami	verbo	tapi verbo
empatar (composto: igual-fazer)	tani-tani-patu	verbo	tapi verbo
futebol (composto: pé-jogo)	puta-tupu	subst	tapi subst
corrida (composto)	puta-sipa-tipi	subst	tapi subst
salto (composto: levantar-grande)	sutu-tipi	subst	tapi subst
natação competitiva (composto)	saku-tupu	subst	tapi subst
escola (composto: saber-casa)	kima-kama	subst	tapi subst
livro (composto: palavra-raiz)	tama-naku	subst	tapi subst
lição (composto)	tama-naku-puku	subst	tapi subst
ler (composto: ver-palavra)	tika-tama	verbo	tapi verbo
escrever (composto: fazer-palavra)	patu-tama	verbo	tapi verbo
estudar (composto: saber-tempo)	kima-kapa	verbo	tapi verbo
ensinar (homônimo)	kima-puna	verbo	tapi verbo
aprender (homônimo)	kima-kuta	verbo	tapi verbo
examinar (composto: saber-ver)	kima-tika	verbo	tapi verbo
acusado/réu (composto: mal-pessoa)	muka-mati	subst	tapi subst
inocente (composto: não-mal-pessoa)	pa-muka-mati	subst	tapi subst
acusação (composto: mal-falar)	muka-taka	subst	tapi subst
promotor (composto)	muka-taka-mati	subst	tapi subst
advogado (composto: palavra-pessoa)	taka-mati	subst	tapi subst
testemunha (composto: ver-pessoa)	tika-mati	subst	tapi subst
testemunho (composto: falar-visto)	taka-tika	subst	tapi subst
tribunal (composto: verdade-casa)	muta-ka-kama	subst	tapi subst
júri (composto: verdades-pessoas)	muta-ka-mati-n	subst	tapi subst
sentença (composto: verdade-falar)	muta-ka-taka	subst	tapi subst
multa (composto: mal-dinheiro)	muka-mapu	subst	tapi subst
pena/condenação (composto: prisão-tempo)	mipi-kama-kapa	subst	tapi subst
recurso (composto: voltar-falar)	kuti-taka	subst	tapi subst
constituição (composto: palavra-grande)	tama-tipi	subst	tapi subst
defesa (composto: não-mal-falar)	pa-muka-taka	subst	tapi subst
acordo (composto: mútuo-querer)	tatu-naki	subst	tapi subst
código de leis (composto)	muta-ka-tama-naku	subst	tapi subst
contrato (composto: promessa-documento)	taka-mika-naku	subst	tapi subst
criminoso (composto)	muka-patu-mati	subst	tapi subst
apelação (composto: passivo-justiça)	mu-muta-ka	subst	tapi subst
enfermeiro (composto: corpo-cuidar-pessoa)	puti-puna-mati	subst	tapi subst
paciente (composto: doente-pessoa)	tipi-pa-mati	subst	tapi subst
cirurgia (composto: cortar-corpo)	sasi-puti	subst	tapi subst
cirurgião (composto)	sasi-puti-mati	subst	tapi subst
injeção (composto: furar-remédio)	mupu-naka	subst	tapi subst
comprimido/pílula (composto: pedra-remédio)	mapu-naka	subst	tapi subst
gripe (composto: respirar-nariz-grande)	nasi-nina-tipi	subst	tapi subst
câncer (composto: corpo-mal-grande)	puti-muka-tipi	subst	tapi subst
alergia (composto: corpo-mal-fruta)	puti-muka-tati	subst	tapi subst
sintoma (composto: corpo-visto)	puti-tika	subst	tapi subst
diagnóstico (composto: saber-doença)	kima-tipi-pa	subst	tapi subst
prescrição (composto: dizer-remédio)	taka-naka	subst	tapi subst
pressão arterial (composto: sangue-força)	kunu-musu	subst	tapi subst
veia (composto: sangue-caminho)	kunu-nani	subst	tapi subst
artéria (composto: veia-grande)	kunu-nani-tipi	subst	tapi subst
pulmão (composto: respirar-órgão)	nasi-pumu	subst	tapi subst
rim (composto: corpo-órgão)	puti-tini	subst	tapi subst
estômago (composto: barriga-câmara)	tuna-kama	subst	tapi subst
cérebro (composto: cabeça-saber)	miti-kima	subst	tapi subst
epidemia (composto: doença-todos)	tipi-pa-kupa	subst	tapi subst
pandemia (composto: doença-mundo)	tipi-pa-nuki	subst	tapi subst
ambulância (composto: carro-remédio)	kama-puta-naka	subst	tapi subst
